passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,3.29,16.5,3.46,20.76
1,0.73,6.0,1.0,7.8
6,15.34,42.0,0.0,42.8
2,1.15,7.0,0.0,7.8
1,1.86,9.0,0.0,9.8
2,1.89,9.5,2.06,12.36
1,1.3,7.5,2.5,11.8
6,1.03,8.0,1.76,10.56
2,1.04,8.0,1.76,10.56
1,2.1,11.0,2.35,14.15
5,1.83,10.0,0.0,11.8
1,2.03,9.0,1.96,11.76
1,1.01,10.0,0.0,10.8
1,0.9,5.5,1.0,7.3
1,1.02,7.0,1.56,9.36
1,0.36,3.5,1.0,5.8
1,4.35,22.0,4.2,27.0
1,16.5,50.5,7.69,58.99
1,0.7,5.5,1.25,7.55
1,0.57,6.0,1.0,7.8
5,1.43,7.0,1.66,9.96
2,4.4,16.0,0.0,16.8
1,1.9,8.0,0.0,9.8
1,2.1,10.0,0.0,11.3
3,1.9,8.0,1.75,10.55
4,0.5,3.5,1.06,6.36
1,2.3,11.0,0.0,11.8
1,1.72,9.5,2.26,13.56
1,0.5,4.0,0.0,4.8
1,0.4,3.5,0.85,5.15
1,2.0,11.0,0.0,11.8
1,1.1,9.5,2.05,12.35
1,1.36,7.0,1.66,9.96
1,1.3,6.5,1.55,9.35
1,0.65,5.0,1.36,8.16
1,0.7,5.0,0.0,5.8
3,3.06,14.0,3.06,18.36
1,0.7,5.0,1.85,8.15
1,1.7,9.5,1.0,12.3
5,2.15,11.0,2.46,14.76
1,2.4,11.0,1.0,12.8
1,1.88,9.0,1.96,11.76
1,1.8,10.0,0.0,11.3
1,0.5,4.0,0.95,5.75
1,0.9,6.0,1.0,8.8
1,1.66,15.0,3.16,18.96
1,2.83,11.5,1.5,13.8
1,2.51,20.0,4.16,24.96
3,0.94,6.5,1.46,8.76
1,15.45,59.5,15.0,87.84
1,1.05,6.0,2.19,9.49
1,4.9,21.5,4.46,26.76
1,2.4,14.5,4.05,20.35
1,2.2,9.5,2.7,13.5
1,1.0,5.5,1.0,7.3
1,0.6,5.0,1.45,7.25
1,1.8,9.0,0.0,10.8
1,4.8,21.0,4.35,26.15
5,2.06,10.0,2.36,14.16
1,1.5,8.0,1.8,10.6
1,0.3,5.0,0.7,6.5
1,1.2,6.0,1.0,7.8
1,1.5,7.5,0.0,8.3
1,5.3,25.0,5.15,30.95
5,0.63,4.5,1.0,6.3
2,1.09,8.0,0.0,8.8
1,2.6,10.5,2.45,14.75
1,1.7,9.0,0.0,9.8
1,1.39,8.5,0.0,9.3
1,1.13,6.0,0.0,6.8
5,1.83,18.0,2.0,20.8
1,3.1,12.0,0.0,12.8
1,0.7,5.0,1.15,6.95
1,1.26,9.0,2.16,12.96
1,1.08,6.0,1.46,8.76
1,2.44,13.0,3.45,17.25
1,0.9,5.5,1.25,7.55
2,1.6,9.0,1.0,10.8
1,3.11,14.5,2.3,17.6
1,5.53,19.5,5.08,25.38
2,1.16,6.0,1.56,9.36
1,2.8,14.5,1.0,16.8
1,0.75,5.0,1.0,6.8
1,1.1,7.0,0.0,7.8
1,0.85,8.0,0.0,8.8
1,1.8,10.5,2.8,14.1
2,0.96,6.0,2.0,8.8
1,0.4,3.5,0.95,5.75
1,2.02,9.0,2.58,12.88
1,2.38,10.0,22.0,33.3
1,0.97,7.5,0.0,9.3
1,1.2,6.0,0.0,7.3
1,1.6,12.5,1.0,14.3
2,2.3,12.5,2.65,15.95
1,0.9,5.5,0.0,6.8
3,2.67,12.0,0.0,13.3
1,0.75,5.5,1.89,8.19
1,1.14,6.5,0.0,7.3
3,5.24,27.0,0.0,27.8
3,1.85,8.5,1.54,11.84
1,1.3,8.0,0.0,8.8
5,1.49,11.5,2.66,15.96
1,0.63,4.5,0.0,5.3
1,1.2,7.0,0.0,8.8
5,2.84,15.0,0.0,15.8
1,0.28,3.5,0.0,4.3
1,1.1,6.5,1.95,9.75
3,1.0,5.5,0.0,7.3
3,0.7,6.5,0.0,7.3
6,1.49,9.5,0.0,10.3
1,0.2,4.0,0.0,4.8
1,1.22,9.5,0.0,11.3
1,1.7,12.5,2.65,15.95
2,0.13,3.0,0.0,3.8
1,1.8,9.0,1.96,11.76
1,2.0,12.5,3.7,17.0
1,2.41,12.0,0.0,13.8
1,2.03,12.5,2.66,15.96
1,2.16,11.0,2.36,14.16
1,4.08,20.0,4.16,24.96
4,2.13,9.5,1.5,12.8
2,0.75,6.0,1.36,8.16
1,1.4,8.5,0.0,9.3
1,0.29,4.5,0.0,6.3
3,0.8,5.5,1.26,7.56
1,7.18,27.5,0.0,28.3
1,0.88,5.5,0.0,6.3
1,1.0,6.5,0.0,8.3
1,1.9,10.5,1.0,13.3
2,1.51,14.5,0.0,15.3
1,1.04,6.5,1.0,8.3
1,2.66,14.0,3.0,18.8
6,3.53,13.0,3.7,18.5
1,1.3,6.0,1.36,8.16
1,1.2,8.0,1.95,11.75
