passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,0.5,4.5,1.33,6.63
1,0.6,4.5,1.32,6.62
6,0.77,6.5,0.0,7.3
3,0.65,4.5,0.0,5.3
1,4.5,17.0,4.75,28.59
2,0.8,6.5,1.45,8.75
1,0.7,5.5,0.0,6.3
5,1.03,6.5,1.46,8.76
1,0.72,5.5,0.0,6.3
2,1.66,8.5,0.0,9.8
1,0.39,4.5,0.0,5.3
1,5.7,19.0,4.06,24.36
5,1.34,6.5,1.5,8.8
1,9.87,28.0,6.87,41.21
1,1.68,9.5,0.0,10.3
1,1.9,10.0,2.36,14.16
1,10.6,41.5,8.55,51.35
5,10.34,34.5,8.08,49.92
1,1.11,7.0,0.0,7.8
2,2.97,13.0,2.76,16.56
1,2.32,10.5,2.26,13.56
2,1.38,10.0,2.16,12.96
1,1.17,9.5,0.0,10.3
1,2.51,11.5,0.0,12.8
1,1.9,9.0,1.95,11.75
1,2.8,18.0,3.75,22.55
1,0.6,5.0,1.7,8.5
1,12.9,41.5,9.55,57.39
1,1.5,8.0,3.0,12.3
2,0.87,5.0,1.0,6.8
1,1.66,11.0,2.36,14.16
1,10.1,31.5,0.0,37.84
1,1.3,7.5,2.07,10.37
1,0.7,5.0,0.0,6.3
1,1.6,7.5,0.0,8.3
1,1.5,11.5,0.0,12.3
1,0.89,8.0,0.0,8.8
1,5.8,18.5,0.0,19.3
1,0.55,6.0,0.0,6.8
2,4.63,15.0,3.16,18.96
3,8.7,30.0,7.25,43.59
1,0.86,5.5,0.0,6.3
1,1.18,6.0,1.56,9.36
1,4.52,15.5,3.46,20.76
5,1.53,7.0,0.0,7.8
1,2.04,8.0,1.76,10.56
1,2.32,12.5,2.86,17.16
1,3.67,12.5,1.33,14.63
1,7.64,23.5,7.71,38.55
1,2.07,11.0,4.0,15.8
1,1.4,9.0,0.0,9.8
1,5.06,24.0,0.0,25.8
5,0.76,5.0,1.16,6.96
1,3.2,13.5,2.85,17.15
1,1.3,7.5,1.65,9.95
6,1.91,10.0,2.16,12.96
1,2.71,10.0,2.16,12.96
2,0.43,4.0,0.0,5.3
2,1.01,6.0,0.0,7.8
1,1.31,6.0,1.36,8.16
1,4.3,14.5,2.0,17.8
1,1.6,7.5,0.0,8.8
5,0.03,3.0,0.0,4.3
3,2.16,12.5,0.0,14.3
1,2.8,13.0,2.95,17.75
1,10.38,37.0,8.67,52.01
2,7.0,24.0,5.15,30.95
1,1.03,9.0,1.0,10.8
1,2.77,17.0,3.56,21.36
1,0.9,8.0,3.0,11.8
2,1.03,7.0,1.1,8.9
5,1.4,7.0,1.66,9.96
1,1.1,6.5,1.0,9.3
1,0.99,8.5,1.86,11.16
1,1.91,12.5,2.2,15.5
1,0.79,5.0,1.36,8.16
1,1.3,10.0,1.0,11.8
2,7.18,21.5,0.0,22.8
1,2.09,12.0,2.56,15.36
1,0.6,5.0,0.0,5.8
2,0.56,4.0,1.16,6.96
1,0.44,4.5,0.0,5.3
1,20.41,52.0,11.67,70.01
2,10.89,32.0,5.0,37.8
1,0.6,4.5,1.15,6.95
1,8.5,24.0,0.0,25.3
1,1.1,6.5,1.0,8.3
1,1.83,10.5,1.5,12.8
1,0.6,5.5,0.0,6.3
1,0.46,4.5,0.0,5.3
1,1.15,6.5,1.31,8.61
1,0.99,5.5,1.36,8.16
1,1.9,10.5,2.46,14.76
3,4.08,16.5,3.46,20.76
